UIRoot2D/NormalPanel/HeroAttributeWin/Go_HeroAttribute/Go_ScrollList/Go_List/Go_LevelUP/Btn_LevelUp,UIRoot2D/NormalPanel/BattleWin/Go_TeamSkill/Btn_TeamSkill,UIRoot2D/NormalPanel/UGCBattleWin/Go_PlayerCard/Go_UGCBattleCard_3,UIRoot2D/NormalPanel/UGCBattleWin/Go_PlayerCard/Go_UGCBattleCard_0,UIRoot2D/NormalPanel/HeroListWin/Btn_Back,UIRoot2D/NormalPanel/GuildWar5V5BattleWin/Go_Player/Go_HeroSkill/Btn_CommonAttack,UIRoot2D/NormalPanel/UGCBattleWin/Go_PlayerCard/Go_UGCBattleCard_1,UIRoot2D/NormalPanel/EquipStrengthenWin/Go_Strengthen/Btn_strengthen,UIRoot2D/NormalPanel/HeroInfoWin/Go_ToggleList/Tog_Equip,UIRoot2D/NormalPanel/EquipStrengthenWin/Go_Strengthen/Btn_faststrengthen,UIRoot2D/NormalPanel/QuestWin/Go_Quest/Go_QuestList/Go_ScrollRect/Go_Content/Go_AchievementItem_01/Btn_Reward,UIRoot2D/NormalPanel/UGCBattleWin/Go_GlobalSkill/Btn_GlobalSkill_0,UIRoot2D/NormalPanel/UGCBattleWin/Go_PlayerCard/Go_UGCBattleCard_2,UIRoot2D/NormalPanel/BossInvadeBattleWin/Go_HeroSkill/Btn_CommonAttack,UIRoot2D/NormalPanel/DuelistBattleWin/Go_HeroSkill/Btn_CommonAttack,UIRoot2D/NormalPanel/HeroAttributeWin/Go_HeroAttribute/Go_ScrollList/Go_List/Go_AttributeTip/Go_ItemList/Go_Item_0,UIRoot2D/NormalPanel/MainWin/Go_Menu/Msk_DisplayArea/Grid/Btn_Hero,UIRoot2D/NormalPanel/RobWin/Go_Rob/Go_TreasureList/Go_Layout/Go_TreasureListItem_Win_Rob(Clone),vip
16,53,0,0,12,0,0,3,30,22,27,0,0,202,0,0,17,60,False
3,19,0,33,14,0,22,0,14,12,27,10,0,424,0,0,17,48,False
16,23,0,0,22,0,0,1,16,19,21,0,0,109,0,0,22,8,False
16,14,0,0,17,0,0,0,9,11,11,0,0,468,0,25,18,30,False
10,28,0,0,26,0,0,0,12,13,13,0,0,60,0,0,25,72,False
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,False
40,9,0,18,27,0,26,0,44,44,14,4,0,261,0,0,29,28,False
3,0,0,0,2,0,0,0,3,5,4,0,0,0,0,16,2,0,False
57,35,0,21,24,0,0,78,12,10,21,1,0,200,81,0,28,0,False
1,1,0,0,4,0,0,0,2,0,1,0,0,30,0,0,5,0,False
7,9,0,0,12,0,0,0,12,7,16,0,0,176,33,9,11,24,False
11,25,0,0,22,0,0,0,14,16,25,0,0,9,3,0,23,6,False
3,0,15,27,6,0,43,0,3,4,8,41,16,0,0,0,6,6,False
10,9,0,0,24,0,0,4,17,22,25,0,0,983,0,0,27,6,True
14,26,0,28,4,0,0,0,9,10,11,0,0,7,0,8,4,12,False
31,57,0,962,37,0,48,4,33,34,30,38,0,187,126,73,36,14,False
26,18,0,42,31,0,17,0,22,19,23,4,0,8,17,0,32,50,False
17,2,0,0,13,0,0,0,10,33,6,0,0,0,0,54,17,0,False
15,58,0,0,44,0,0,0,7,18,22,0,0,751,41,0,60,30,False
18,12,0,0,2,0,0,1,10,12,5,0,0,0,0,1,8,0,False
36,18,0,48,20,0,37,0,39,42,30,6,0,38,678,0,23,10,False
0,7,0,0,4,0,0,2,16,10,1,0,0,0,0,0,3,0,False
21,5,0,0,19,0,0,0,27,33,22,0,0,68,0,0,17,58,False
14,34,0,40,42,0,55,0,27,13,28,2,27,1037,455,0,42,96,False
8,6,0,0,33,0,43,1,47,10,43,6,0,223,177,1,32,56,False
59,129,0,0,83,0,0,3,39,26,53,0,0,1053,56,0,97,44,False
35,31,0,79,57,0,114,0,58,36,31,4,0,7,7,0,57,78,True
9,29,0,0,75,0,89,0,23,11,37,4,0,49,61,0,80,88,False
20,4,0,0,14,0,0,0,22,47,26,0,0,23,0,169,19,4,False
16,14,0,0,6,0,0,145,14,3,9,0,0,52,0,0,7,0,False
16,70,0,0,57,0,0,0,40,24,26,0,0,526,0,0,63,98,False
23,25,0,0,24,0,0,0,33,32,37,0,0,45,228,0,29,14,False
0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,False
47,20,0,61,33,0,37,0,49,60,31,13,0,2,0,0,33,0,False
49,115,0,21,121,0,91,0,93,36,52,18,32,54,126,2,125,264,True
13,30,0,0,31,0,0,1,21,12,28,0,0,151,60,0,31,16,False
25,87,0,22,84,0,33,0,22,22,30,10,0,118,39,1,72,50,False
2,3,0,34,3,0,66,17,3,6,9,0,0,0,0,0,3,0,False
11,8,0,48,5,0,46,0,13,11,14,8,0,2,0,0,6,0,False
18,47,0,14,29,0,17,0,54,22,34,17,0,548,288,0,39,106,True
0,5,0,0,3,0,0,0,4,3,6,0,0,69,0,0,3,0,False
4,24,0,18,30,0,19,0,34,10,34,22,0,735,0,0,40,66,False
11,53,0,0,47,0,0,0,38,11,42,0,0,13,34,1749,51,186,False
19,8,0,8,12,0,19,0,29,29,19,18,0,55,0,0,14,0,False
0,12,0,0,3,0,0,0,0,0,0,0,0,142,0,0,6,0,False
63,20,0,6,46,0,0,0,71,75,46,4,0,867,305,0,48,32,True
34,31,0,22,20,0,0,0,32,33,20,0,0,28,3,0,22,0,False
7,6,0,0,12,0,0,0,7,8,14,0,0,123,0,0,14,2,False
11,18,0,0,8,0,0,2,18,12,27,0,0,109,0,0,12,10,False
45,11,0,60,24,0,19,0,41,57,37,8,0,676,0,0,30,16,False
10,98,0,0,19,0,0,4,30,11,52,0,0,755,197,0,26,28,False
18,48,0,0,81,0,83,1,57,22,26,12,0,754,124,0,83,84,False
8,10,0,0,7,0,0,0,20,13,20,0,0,1,0,0,10,28,False
10,21,0,10,21,0,20,0,12,17,13,8,0,47,0,0,23,0,False
39,70,0,52,58,0,59,6,38,141,55,14,0,280,146,5,63,42,False
24,70,0,0,34,0,0,1,41,40,28,0,0,34,0,0,35,38,False
15,0,0,0,6,0,0,0,14,17,20,0,0,79,0,0,9,76,False
79,121,0,21,118,0,324,7,61,100,78,20,0,141,1,69,138,112,False
27,92,0,180,36,0,0,0,28,84,28,14,0,537,138,0,40,12,False
9,3,0,0,7,0,0,0,17,9,3,0,0,124,0,0,3,32,False
23,17,0,115,22,0,94,0,48,39,19,12,0,47,0,42,21,8,True
5,8,0,0,2,0,0,44,5,2,5,0,0,0,0,0,6,0,False
30,11,0,20,20,0,27,4,31,37,14,4,0,491,0,0,21,16,False
26,43,0,32,36,0,0,2,43,58,27,1,0,42,245,482,28,18,False
48,93,0,7,32,0,55,1,59,38,59,4,0,519,404,742,32,22,True
27,47,0,0,15,0,0,0,26,34,15,0,0,6,31,0,16,20,False
37,25,0,0,46,0,0,0,50,31,53,0,0,487,510,0,40,86,False
23,23,0,0,26,0,0,0,30,30,23,0,0,144,50,0,27,50,False
6,0,0,0,6,0,0,0,6,5,1,0,0,0,0,0,7,0,False
7,5,0,0,5,0,0,29,17,0,5,0,0,0,0,13,9,0,False
17,20,0,0,19,0,0,0,26,24,53,0,0,480,23,0,17,12,False
67,21,0,36,42,0,0,0,71,72,54,0,0,40,46,0,54,8,False
28,19,0,0,16,0,0,7,17,30,19,0,0,0,0,0,16,0,False
11,39,0,42,12,0,49,2,37,28,29,28,0,60,33,14,16,18,False
26,34,0,0,32,0,0,0,42,44,31,0,0,16,9,0,32,76,True
44,77,0,161,83,0,63,0,57,57,78,22,0,1138,193,0,93,58,False
110,59,0,63,66,0,73,2,111,87,72,35,0,83,147,2,75,190,True
35,15,0,238,23,0,247,8,16,18,19,47,0,26,0,207,22,0,False
16,3,0,0,8,0,0,1,2,1,6,0,0,0,0,0,12,0,False
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,False
15,23,0,0,7,0,0,149,13,11,39,0,0,47,0,0,7,16,False
25,4,0,0,10,0,0,72,12,0,13,0,0,12,0,0,17,0,False
39,29,0,263,48,0,156,3,43,136,44,43,0,173,0,0,50,0,False
28,11,0,0,12,0,0,0,25,32,12,0,0,0,0,0,14,0,False
42,70,0,68,30,0,0,0,55,51,32,0,0,55,61,0,29,4,False
1,7,0,0,2,0,0,0,0,0,1,0,0,2,0,0,2,0,False
3,7,0,0,2,0,0,0,3,4,0,0,0,1,0,0,3,0,False
4,0,0,0,7,0,0,0,7,11,10,0,0,0,0,56,8,30,False
18,16,0,0,13,0,0,0,11,16,19,0,0,490,82,0,16,0,False
26,30,0,44,26,0,94,0,32,105,24,0,0,638,659,49,27,0,False
71,152,0,94,141,0,118,1,90,63,51,14,0,2117,203,0,131,284,True
56,105,0,710,67,0,196,21,91,78,79,101,0,469,190,1,70,54,False
56,29,0,85,57,0,76,1145,81,38,29,48,0,1222,34,0,65,8,False
10,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,4,0,False
4,21,0,25,2,0,0,34,3,2,0,15,0,0,0,0,4,0,False
74,72,0,10,197,0,12,4,146,103,80,38,0,1747,13,0,202,498,False
22,8,0,0,15,0,0,0,22,32,15,0,0,29,21,0,18,52,False
4,5,0,0,9,0,0,2,11,9,21,0,0,17,0,0,8,28,False
13,12,0,0,1,0,0,0,21,21,8,0,0,209,0,0,16,0,False
22,72,0,20,76,0,22,3,34,34,39,6,0,290,517,5,92,50,False
44,39,0,16,39,0,37,0,55,46,32,10,0,64,0,0,42,52,False
36,59,0,153,99,0,141,1,46,48,50,80,0,1436,432,0,103,82,False
23,86,0,0,117,0,0,0,21,25,41,10,15,130,0,0,112,62,False
47,30,0,28,25,0,0,0,53,68,22,4,0,194,6,0,34,4,False
32,26,0,16,18,0,10,0,43,41,28,6,0,325,93,0,19,28,False
0,4,0,0,1,0,0,0,2,0,0,0,0,94,0,0,1,0,False
54,30,0,145,71,0,479,4,65,113,40,177,0,654,54,0,79,20,True
54,90,0,0,83,0,0,1,52,44,39,0,0,369,179,3,92,140,False
32,21,0,31,34,0,14,1,35,33,19,3,0,158,66,0,38,66,False
74,41,0,70,59,0,57,2,58,68,53,14,0,21,22,42,65,74,True
13,24,0,15,23,0,24,147,33,6,20,3,0,217,0,0,25,46,False
23,121,0,12,85,0,14,48,20,10,57,2,0,1766,1120,0,97,78,True
72,60,0,127,67,0,61,0,75,84,46,7,0,247,138,0,68,0,False
21,26,0,0,26,0,0,0,12,15,27,0,0,326,0,0,28,6,False
3,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,5,0,False
44,83,0,16,35,0,113,0,54,66,46,4,0,826,283,0,36,16,True
43,70,0,4,41,0,111,0,66,48,37,28,0,52,17,0,45,120,False
58,89,0,31,62,0,52,0,61,64,44,16,0,77,31,0,73,124,False
43,29,0,58,25,0,0,14,42,40,18,0,0,68,0,0,31,0,False
25,19,0,100,21,0,20,0,38,50,30,4,0,1026,215,0,19,30,False
39,22,0,14,37,0,9,0,46,40,52,4,0,23,0,0,37,12,True
21,24,0,0,12,0,0,241,16,8,19,0,0,0,253,0,11,30,False
16,24,0,37,9,0,0,1,10,13,13,0,0,233,2,0,8,0,False
28,43,0,55,28,0,0,8,53,60,29,0,0,2034,92,42,33,70,False
13,3,0,0,10,0,0,9,6,7,3,0,0,0,0,1,13,0,False
15,23,0,49,8,0,15,0,21,21,19,2,0,11,225,0,11,0,False
14,5,0,0,9,0,0,0,20,24,11,0,0,4,0,0,11,0,False
37,104,0,75,38,0,158,28,23,12,72,50,0,56,34,0,48,44,False
43,31,0,33,34,0,52,0,45,53,10,4,0,189,664,2,37,14,False
13,29,0,15,24,0,44,1,19,13,41,14,0,0,0,0,26,24,False
38,43,0,38,41,0,0,4,37,54,43,0,0,536,0,2,44,40,False
25,52,0,0,34,0,0,0,23,49,34,0,0,1050,0,85,42,8,False
9,14,0,60,9,0,0,0,14,1,11,0,0,7,0,0,9,0,False
41,100,0,113,94,25,107,1,78,53,94,24,0,1458,372,0,92,52,True
23,27,0,0,34,0,0,2,31,28,37,0,0,227,66,0,33,86,False
11,14,0,0,10,0,0,96,5,2,2,0,0,65,0,0,11,0,False
78,29,0,47,42,0,0,0,74,84,52,1,0,36,149,0,46,8,False
10,7,0,0,7,0,0,79,6,0,5,0,0,123,0,70,8,0,False
31,75,0,22,57,0,13,0,23,18,53,22,0,1046,589,0,68,80,False
38,16,0,41,13,0,0,0,36,25,18,0,0,7,0,0,14,2,False
12,15,0,37,11,0,0,1,10,10,22,1,0,180,0,0,12,0,False
26,21,0,22,11,0,23,19,28,21,14,2,0,52,0,0,13,22,False
3,2,0,0,9,0,0,0,8,3,7,0,0,68,115,0,10,8,False
0,74,0,0,2,0,0,1,4,1,0,0,0,359,0,0,2,0,False
18,10,0,18,8,0,0,0,12,15,5,1,0,0,0,0,9,0,False
